Respondents,Response.Date,Responses,Age
371,May 27 2020 05:36 PM,"They are portrayed as nasty, stupid, and evil. Most villains in movies are on the larger side, which helps drive the stereotype.",57
372,May 27 2020 05:36 PM,"Not healthy, doesn't exercise, poor eating habits, probably has other health problems too, not someone I want to be seen with",53
373,May 27 2020 05:35 PM,That they are lazy,70
374,May 27 2020 05:35 PM,That it’s disappointing and disgusting,42
375,May 27 2020 05:35 PM,That its only because of food,58
376,May 27 2020 05:34 PM,"From what I've experienced, the public seems to think that obese people are lazy, unintelligent, and don't care about themselves.",60
377,May 27 2020 05:33 PM,"Sick, sometimes positive/embracing but mostly bad",25
378,May 27 2020 05:32 PM,people don’t like or get mad at obesity,33
379,May 27 2020 05:32 PM,not sure,40
380,May 27 2020 05:32 PM,negative,58
381,May 27 2020 05:31 PM,They hate it,28
382,May 27 2020 05:31 PM,"They are unhealthy, ugly and not like the usual type",69
383,May 27 2020 05:31 PM,No one likes them,26
384,May 27 2020 05:31 PM,I don’t know,49
385,May 27 2020 05:31 PM,Good morning good luck to your new game will be,75
386,May 27 2020 05:30 PM,We're a fat people. People fatter than us disguist us.,20
387,May 27 2020 05:30 PM,They are not liked. Fat shamed if you will,64
388,May 27 2020 05:29 PM,They hate obese people and think they’re lazy.,67
389,May 27 2020 05:28 PM,Unforgiving and rude,62
390,May 27 2020 05:27 PM,Obese people are a drag upon society and cost everyone much larger health and life insurance premiums due to their drag and unhealthy condition in society.,54
391,May 27 2020 05:26 PM,That it’s a choice and that people choose to be obese and that there is no underlying reason that they are that way,65
392,May 27 2020 05:26 PM,Not sure.,20
393,May 27 2020 05:26 PM,"I think the American public thinks obesity is somewhat normal now.  Although we still see models on social media being skinny or perfectly curvy, I have noticed more advertisements with plus size models.",42
394,May 27 2020 05:25 PM,They are fat and lazy and dont do anything but eat ,60
395,May 27 2020 05:24 PM,that they should take better care of their health  &  stop with the fast food.,34
396,May 27 2020 05:24 PM,Depends on how much you are over weight.,61
397,May 27 2020 05:22 PM,I think everyone just assumes that when someone is obese they are lazy and disgusting and all they do is eat junk food and watch tv,68
398,May 27 2020 05:21 PM,"I think there are some people that don’t see it as an issue. I think there are some that see it as a larger health issue (effecting more than just those who are obese), and I think there are some who look down on it simply because it’s not the “ideal.”",55
399,May 27 2020 05:21 PM,I don't know,19
400,May 27 2020 05:20 PM,none,24
401,May 27 2020 05:20 PM,in general it is considered a very bad condition.,53
402,May 27 2020 05:17 PM,they are lazy,64
403,May 27 2020 05:17 PM,normal,28
404,May 27 2020 05:17 PM,They think that it means that you’re in capable of doing any and everything. And it seems like they love to body shame bigger people and believe that they are unhealthy when in reality most of us are not.,24
405,May 27 2020 05:17 PM,They think overweight people are lazy and unattractive,30
406,May 27 2020 05:17 PM,Not sure,41
407,May 27 2020 05:16 PM,They make bad choices with their diet and activity level,65
408,May 27 2020 05:16 PM,They are humans,28
409,May 27 2020 05:13 PM,"I think people are disgusted and act as though people should not be as big as they are, when they don’t look in the mirror and see that they, too, are overweight. There can be medical reasons for weight problems. My experience was after a major surgery and no matter how hard I tried or what I did, I could not lose the weight. Again, I gained it all over, so it was difficult to tell how heavy I had gotten (40+ pounds over where I was before surgery).",48
410,May 27 2020 05:11 PM,lazy,55
411,May 27 2020 05:11 PM,There are two extremes. People who think it is a disease or people who think you should embrace it,27
412,May 27 2020 05:11 PM,I think the American public is very concerned about weight loss,32
413,May 27 2020 05:09 PM,They have become too accepting.,57
414,May 27 2020 05:09 PM,Since most of America is this overweight it’s probably no big deal.,21
415,May 27 2020 05:08 PM,quite a few make comments about people's weight and they don't realize their own size,34
416,May 27 2020 05:08 PM,They are looked down on,32
417,May 27 2020 05:06 PM,That they a glutinous.,61
418,May 27 2020 05:04 PM,most americans are fat so they don’t care,67
419,May 27 2020 05:04 PM,B.,27
420,May 27 2020 05:03 PM,"That a person lacks self control
Or is lazy",53
421,May 27 2020 05:02 PM,They think they are weak and out of control,25
422,May 27 2020 05:02 PM,They are equal to skinny people,72
423,May 27 2020 05:02 PM,That it is all under their control.,72
424,May 27 2020 05:01 PM,They think they are unhealthy and choose to be like that and think it’s very unattractive,72
425,May 27 2020 05:01 PM,Need help,23
426,May 27 2020 05:00 PM,Different things. Some people think they are lazy or stupid. They think they have no control. Some think they are dirty,27
427,May 27 2020 04:59 PM,"obesity is based on poor food and lifestyle choices, so the solution is quick and easy.",55
428,May 27 2020 04:59 PM,it's a disease and mentally damaging.,69
429,May 27 2020 04:57 PM,"Most ""fit"" people have a huge bias against it - I suppose they believe that if they can easily control it, it must be that way for everyone, and obese people are lazy/weak/bad.  Personally I think it's irrelevant and have a huge problem with the country's fixation on weight permeating everything.  Billions of dollars are made on convincing everyone that they need to ""lose weight.""  ",67
430,May 27 2020 04:56 PM,negative overall,46
431,May 27 2020 04:56 PM,We judge very quickly if someone’s too big or too thin,55
432,May 27 2020 04:56 PM,They are held to lower standards and they choose to be this way.,43
433,May 27 2020 04:56 PM,Negatively,20
434,May 27 2020 04:55 PM,"They assume the overweight are
Lazy
Slovenly
Low class
Unmotivated
Unloveable
Bad parents—when they have children
Greedy",49
435,May 27 2020 04:54 PM,It’s bad to be fat,33
436,May 27 2020 04:54 PM,If you do not look like a tv or movie personality they think you are over weight...,28
437,May 27 2020 04:53 PM,not sure,37
438,May 27 2020 04:53 PM,They are lazy and stupid,23
439,May 27 2020 04:53 PM,"There lazy, unkept, disgusting ",18
440,May 27 2020 04:53 PM,"Some harbor weight bias but many are themselves, overweight so they may sympathize with obese people. Over all I think the public has a negative view of obese people.",58
441,May 27 2020 04:51 PM,The public thinks thinks that you should control your weight - it is unhealthy to be overweight (proven by the covid virus),56
442,May 27 2020 04:51 PM,It is a epidemic,34
443,May 27 2020 04:50 PM,thinks unfairly towards them,25
444,May 27 2020 04:50 PM,We are lazy and ugly.,59
445,May 27 2020 04:50 PM,N/A,38
446,May 27 2020 04:50 PM,Idk,38
447,May 27 2020 04:50 PM,I feel most find obesity yo be disgusting.,57
448,May 27 2020 04:50 PM,Hey hey hey,74
449,May 27 2020 04:47 PM,Why did they let that happen?,22
450,May 27 2020 04:47 PM,"That they don’t care about their health, that they have terrible self control, they are eating their feelings due to trauma or have a mental disorder that causes them to over eat",58
451,May 27 2020 04:46 PM,"Lazy, overeater, slob, out of control",73
452,May 27 2020 04:46 PM,It’s their fault,35
453,May 27 2020 04:46 PM,"It seems split. Some people think that they’re just at their natural body size and that little can be done to change their weight. Others think that they’re unhealthy and lazy, and just need to eat less.",47
454,May 27 2020 04:46 PM,I don’t know,64
455,May 27 2020 04:45 PM,They shame heavy people,44
456,May 27 2020 04:45 PM,They are somewhat looked down upon butnat the same time the obesity rate is so high it's hard to judge too harshly because everyone else is fat too,33
457,May 27 2020 04:45 PM,That it should be easy for us to lose weight,71
458,May 27 2020 04:45 PM,Good,37
459,May 27 2020 04:43 PM,People with obesity are slobs who don't care about their weight and have little or no self control.,41
460,May 27 2020 04:43 PM,People who are overweight are disgusting and have no self control.,19
461,May 27 2020 04:42 PM,People think less of people who are obese,40
462,May 27 2020 04:41 PM,that it's the fault of the individual and not a public health concern at large.,29
463,May 27 2020 04:41 PM,"They’re seen as lazy and their weight is blamed on them. While they can fix it, it can be the result of their situation or predicament.",45
464,May 27 2020 04:41 PM,They make fun of people that are obese,36
465,May 27 2020 04:40 PM,they judge them by looks and not personality,25
466,May 27 2020 04:40 PM,That they are slovenly and lack discipline.,39
467,May 27 2020 04:40 PM,It’s become so common these days that I’m not sure people too much about it.,20
468,May 27 2020 04:40 PM,Bad,31
469,May 27 2020 04:39 PM,they think they are lazy and dont try to do anything to help improve their situation.,58
470,May 27 2020 04:38 PM,They are lazy,69
471,May 27 2020 04:38 PM,There’s more stigma then necessary but people still need to be aware that obesity is a disease and a health risk. People shouldn’t be shamed for it but encouraged to try to be healthier and given help with weight loss or diagnosing underlying medical conditions,75
472,May 27 2020 04:37 PM,They are not working hard enough to keep their weight in check.,60
473,May 27 2020 04:36 PM,"fat is not attractive, in my opinion it really isnt",36
474,May 27 2020 04:36 PM,They think overweight people have no will power and like being heavy. ,69
475,May 27 2020 04:36 PM,That Americans are all fat,36
476,May 27 2020 04:35 PM,it is a personal dilemma. it is  not up to me to judge another individual,27
477,May 27 2020 04:35 PM,That it’s gross and controllable,59
478,May 27 2020 04:35 PM,Lack of self control,33
479,May 27 2020 04:35 PM,Generally thin or ideal BMI persons believe that most or all overweight people are 100% at fault for their size without considering factors like diabetes heart conditions or immobility due to bone problems,37
480,May 27 2020 04:34 PM,That they are lazy,68
481,May 27 2020 04:34 PM,It is acceptable,72
482,May 27 2020 04:33 PM,That there need to be better solutions,39
483,May 27 2020 04:33 PM,Khdutsjg ysiycmgsjtxn hysuyck,28
484,May 27 2020 04:32 PM,negatively,70
485,May 27 2020 04:32 PM,Think some people take it seriously. Everything is processed or has tons of sugar. Eating healthy is more expensive which is wrong!,63
486,May 27 2020 04:32 PM,Rudeness making fun of people,49
487,May 27 2020 04:32 PM,"Negatively - thinness has always been valued more, and along with our love affair with individualism and personal freedom, we also tend to believe that obesity is a personal responsibility problem rather than a systemic issue (regarding food scarcity, poverty, etc.)",34
488,May 27 2020 04:32 PM,Is a diseases,59
489,May 27 2020 04:32 PM,Idk,51
490,May 27 2020 04:31 PM,they are lazy and unhealthy,56
491,May 27 2020 04:31 PM,Lazy,42
492,May 27 2020 04:30 PM,Fat,75
493,May 27 2020 04:29 PM,"That obese people are lazy, lack discipline/self control, have lower self image. That obese people are costing tax payers money for their health issues.  That the majority are lower income and education ",45
494,May 27 2020 04:29 PM,Society marginalizes overweight people.,61
495,May 27 2020 04:28 PM,"fat, lazy",67
496,May 27 2020 04:28 PM,The American public thinks obese people are lazy and that they eat too much. The American public thinks obese people make poor food choices and don't try to lose weight.,63
497,May 27 2020 04:27 PM,I don’t know,58
498,May 27 2020 04:26 PM,it thinks that those with obesity are lazy,39
499,May 27 2020 04:26 PM,Nothing special,47
500,May 27 2020 04:24 PM,everyone is complaining but everyone is acting unconsciously or not.,23
501,May 27 2020 04:24 PM,"Even though most Americans are overweight, I believe that they have at least a small disgust reaction to those who are obese OR too thin. Often overweight people are written off as lazy or less intelligent, and thin people  are considered ill. ",67
502,May 27 2020 04:21 PM,Discrimination,30
503,May 27 2020 04:20 PM,"in general, people who are obese are not thought of as positively as those who are not. it is another American stigma in which people who do not fit a certain pattern are thought of as being ""less than"".",70
504,May 27 2020 04:18 PM,They are unhealthy,67
505,May 27 2020 04:17 PM,"not sure, it's not a concern to me",53
506,May 27 2020 04:17 PM,That they are lazy. Some profess the belief that obesity is a result of sexual trauma.,56
507,May 27 2020 04:17 PM,I think the American public has a negative opinion of people with obesity,24
508,May 27 2020 04:17 PM,I don’t think the American public cares as much as they used to about health,55
509,May 27 2020 04:16 PM,that it is gross.,30
510,May 27 2020 04:16 PM,Unhealthy,22
511,May 27 2020 04:16 PM,"Poor survey, you asked how many pounds I would like to LOSE, whereas the opposite is true for me.  Not everyone has an overweight problem.  My wife does, I don't.
Since the vast majority of people are overweight, the shaming must be done by a small minority.",45
512,May 27 2020 04:16 PM,No,54
513,May 27 2020 04:16 PM,"Despite having one of the highest percentage of citizens being obese, it's critical of those who are both over and underweight.",70
514,May 27 2020 04:14 PM,I think obesity is associated with laziness and lack of self control.,53
515,May 27 2020 04:13 PM,Or hung,65
516,May 27 2020 04:12 PM,"That overweight people are repellent, less intelligent, careless, inactive",28
517,May 27 2020 04:11 PM,they make jokes about. I wish we had more Fluffiest in the world,51
518,May 27 2020 04:11 PM,people think that they are outta control,58
519,May 27 2020 04:11 PM,Not sure,48
520,May 27 2020 04:09 PM,They think they're weak and unworthy of love or respect,57
521,May 27 2020 04:08 PM,they look down,62
522,May 27 2020 04:06 PM,that they need to lose weight,46
523,May 27 2020 04:05 PM,"Unhealthy, lazy",74
524,May 27 2020 04:05 PM,They think overweight people have no control over how much they eat,44
525,May 27 2020 04:05 PM,They think obese people are lazy or useless,70
526,May 27 2020 04:03 PM,they are used to it,48
527,May 27 2020 04:03 PM,Needs health care,35
528,May 27 2020 04:02 PM,I feel the bias doesn't really exist much until extreme obesity.,28
529,May 27 2020 04:01 PM,I think many younger people praise obesity in light of body positivity. I think many older people see that it’s unhealthy and leads to a shorter lifespan.,48
530,May 27 2020 04:01 PM,Hjrjnrnfjt,47
531,May 27 2020 04:01 PM,Fat and discriminated,33
532,May 27 2020 04:00 PM,Not much,45
533,May 27 2020 03:59 PM,"Weight bias is defined as negative attitudes towards, and beliefs about, others because of their weight. These negative attitudes are manifested by stereotypes and/or prejudice towards people with overweight and obesity",22
534,May 27 2020 03:59 PM,That they are lazy and that they don’t care,73
535,May 27 2020 03:58 PM,They see them as lazy,26
536,May 27 2020 03:57 PM,i feel normal,42
537,May 27 2020 03:57 PM,They think they are lesser people for being overweight,45
538,May 27 2020 03:57 PM,I feel normal,64
539,May 27 2020 03:57 PM,I feel normal,37
540,May 27 2020 03:55 PM,They are sitting home eating and watching TV and not trying to exercise.,53
541,May 27 2020 03:54 PM,"Fat, lazy slobs.",34
542,May 27 2020 03:53 PM,no,64
543,May 27 2020 03:52 PM,Americans are too quick to judge obese people. I think that most feel that obese people can control their weight. ,29
544,May 27 2020 03:52 PM,American public thinks fat people are disgusting,32
545,May 27 2020 03:51 PM,Most of them take it very serious because most of the people over here are overweight or too much body fat on them.,65
546,May 27 2020 03:50 PM,fat,35
547,May 27 2020 03:48 PM,"Obesity is definitely looked down on by both personal or business people.  It just makes it harder to succeed.
",63
548,May 27 2020 03:48 PM,It is a controllable condition.,25
549,May 27 2020 03:48 PM,Idk,65
550,May 27 2020 03:48 PM,Don’t want to see them or be around them.,54
551,May 27 2020 03:47 PM,????,45
552,May 27 2020 03:47 PM,they are ugly,32
553,May 27 2020 03:47 PM,starting to become alarmingly normal and part of body inclusivity despite health risks,66
554,May 27 2020 03:47 PM,hdmi,19
555,May 27 2020 03:47 PM,"If the person is very obese, I think people blame that person and find it disgusting.  But with so many overweight people now, it's almost the norm.  So people don't LIKE it but it's everywhere and it isn't as unusual now.  ",75
556,May 27 2020 03:46 PM,that they are lazy,26
557,May 27 2020 03:46 PM,Most people I know consider obesity to be awful and inherently mean a person is unhealthy,53
558,May 27 2020 03:46 PM,I think people want to accept the body positivity movement but at the end of the day people still want to lose weight for appearance related reasons / health reasons.,61
559,May 27 2020 03:45 PM,They don’t like fat people. They think they’re lazy and sloppy.,65
560,May 27 2020 03:44 PM,yes,60
561,May 27 2020 03:44 PM,h,33
562,May 27 2020 03:44 PM,That they are lazy and unable to control themselves.,64
563,May 27 2020 03:41 PM,normal,60
564,May 27 2020 03:40 PM,A mix of blame on individuals and blame on food and beverage companies,57
565,May 27 2020 03:39 PM,"the thought is that people who are over weight are some how bad, not good enough,",32
566,May 27 2020 03:39 PM,every now and then,43
567,May 27 2020 03:38 PM,It is unhealthy to be obese,36
568,May 27 2020 03:36 PM,think down upon them unfortunately.,43
569,May 27 2020 03:35 PM,That they are lazy.,26
570,May 27 2020 03:35 PM,I don’t know ,46
571,May 27 2020 03:34 PM,They think they are lazy and gluttonous,72
572,May 27 2020 03:34 PM,"The American public thinks they are slow, not intelligent, not motivated, unattractive",70
573,May 27 2020 03:33 PM,Unhealthy and careless,67
574,May 27 2020 03:32 PM,not reliable,28
575,May 27 2020 03:32 PM,There's a social stigma against people with obesity ,70
576,May 27 2020 03:32 PM,That they are lazy and just eat too much,34
577,May 27 2020 03:30 PM,that it's common and natural for the most part which is crazy,43
578,May 27 2020 03:30 PM,Unhealthy,35
579,May 27 2020 03:30 PM,"That they aren’t as good as someone who is a normal, healthy weight.",20
580,May 27 2020 03:30 PM,Sadly I think there becoming ok with it,18
581,May 27 2020 03:28 PM,lazy,60
582,May 27 2020 03:28 PM,"Lazy, slow, lack of self control",54
583,May 27 2020 03:28 PM,I think it’s viewed as unhealthy,33
584,May 27 2020 03:26 PM,"I believe the American public as a whole is brainwashed into believing people with obesity are gross and at fault for their weight, and that only size 0, stick skinny women and ripped men are acceptable/""beautiful"". I think it's sort of an unspoken concept because people are influenced, consciously and unconsciously, but what they see in the media.",39
585,May 27 2020 03:26 PM,Bad,46
586,May 27 2020 03:24 PM,They need to lose weight.,54
587,May 27 2020 03:24 PM,"In general, that any health problem suffered by an overweight person is due to their weight (unless is like a gunshot wound or something).",51
588,May 27 2020 03:21 PM,that they cant control what they eat and it's their own fault,51
589,May 27 2020 03:21 PM,That it’s a disease.,57
590,May 27 2020 03:21 PM,People who are overweight are judged and made fun of,73
591,May 27 2020 03:21 PM,Not sure,70
592,May 27 2020 03:20 PM,they think overweight people are stupid and lazy,73
593,May 27 2020 03:20 PM,They’re lazy or have no self control,45
594,May 27 2020 03:20 PM,I don't know,32
595,May 27 2020 03:19 PM,That they are “sick” and “poor” because they cannot afford healthy foods/ didn’t learn healthy coping mechanisms for stress/ or have a bad relationship with eating.,60
596,May 27 2020 03:18 PM,Fat people are perceived as unhealthy and lazy. They are typically more prone to disease and other health complications that increase the strain on our inadequate health care system.,67
597,May 27 2020 03:17 PM,they think obese people are lazy,44
598,May 27 2020 03:17 PM,That they’re unhealthy,21
599,May 27 2020 03:17 PM,That they have a control issue and cannot stop themselves from eating.,24
600,May 27 2020 03:17 PM,Negatively. But I was really skinny as a kid and got teased just as much.,37
601,May 27 2020 03:17 PM,I think they need to chill on fast food,33
602,May 27 2020 03:17 PM,I think a lot of people realize it’s a problem. I hate how it’s seems like it’s not okay to even bring it up though when someone is obese. Obesity is very dangerous and can kill a person in an instant. Are we supposed to just let a person eat themselves to death? Just being overweight isn’t deadly but obesity definitely is.,56
603,May 27 2020 03:17 PM,Disgusting,63
604,May 27 2020 03:16 PM,they think they don't have anything to do that's why they gained weight,19
605,May 27 2020 03:16 PM,For some it it out of their control but for most it is extremely poor eating habits.,42
606,May 27 2020 03:16 PM,A problem,65
607,May 27 2020 03:15 PM,Refer to the answer for question #1.,66
608,May 27 2020 03:14 PM,concerned,49
609,May 27 2020 03:14 PM,"Not intelligent, that they eat poorly, they do not take good care of themselves, they over eat, they eat fast food, they come from a lower socioeconomic class in society.",22
610,May 27 2020 03:13 PM,they are quick to judge if you don't meet the perfect mold need to mindful that we aren't all the same,28
611,May 27 2020 03:13 PM,that we are fat lazy slobs,73
612,May 27 2020 03:12 PM,people are judge based on their weight,44
613,May 27 2020 03:12 PM,kfkfkfkfcnvmvkgkgoggk,63
614,May 27 2020 03:11 PM,idk,22
615,May 27 2020 03:11 PM,People think obesity is lack of self-management and underweight is serious emotional issues,39
616,May 27 2020 03:11 PM,I think it's actually becoming more the norm. ,56
617,May 27 2020 03:10 PM,they shame them,28
618,May 27 2020 03:09 PM,I feel that it control a lot of situations for people.,30
619,May 27 2020 03:08 PM,that they are lazy,35
620,May 27 2020 03:06 PM,"They think that we are stupid, can't control ourselves, are lazy, unmotivated,and ugly.",47
621,May 27 2020 03:06 PM,"I believe skinnier people have a much easier time. People are more apt to do things for them, they get hired before an obese person with the same qualifications. Obese people tend to be looked at negatively.",27
622,May 27 2020 03:05 PM,they should get  into a diet,23
623,May 27 2020 03:05 PM,that they need to make major lifestyle changes and that it is dangerous for them to be overweight.,63
624,May 27 2020 03:05 PM,They are unhealthy,44
625,May 27 2020 03:05 PM,Eating the wrong food,44
626,May 27 2020 03:04 PM,that in general Americans are overweight and there are a lot of health problems associated with it,60
627,May 27 2020 03:03 PM,"Unfortunately, so many people are obese, it is becoming the norm.  And the healthcare system has to pay for these fat slobs.  Maybe covid will get rid of them.",60
628,May 27 2020 03:03 PM,They look down on them and make them feel less than they are,54
629,May 27 2020 03:03 PM,They are cruel to the over weight people,71
630,May 27 2020 03:02 PM,yea,74
631,May 27 2020 03:02 PM,They judge them. Because they are heavier people think they can’t do the same as someone lighter. They sometimes don’t give a person a try. They look at them as a failure when they are not. They just need that help to lose the weight and stay in shape.,20
632,May 27 2020 03:01 PM,They are lazy,54
633,May 27 2020 03:01 PM,I think as a society we look down upon those who are perceived as obese. ,61
634,May 27 2020 03:01 PM,I dont really know,49
635,May 27 2020 03:00 PM,Sass,31
636,May 27 2020 02:59 PM,"Negative perceptions, some of it based on the massive cost of obesity such as diabetes and heart disease.",45
637,May 27 2020 02:59 PM,Most are offended ,25
638,May 27 2020 02:58 PM,Na,72
639,May 27 2020 02:54 PM,they think it's unhealthy,61
640,May 27 2020 02:54 PM,americans are obsessed.  either you are obese or you are terrified of being obese bc you see how they are treated,25
641,May 27 2020 02:54 PM,To much emphasis is put on weight,69
642,May 27 2020 02:54 PM,They think that obesity is disgusting and ugly,23
643,May 27 2020 02:54 PM,The American public thinks they should just eat less.,53
644,May 27 2020 02:54 PM,I think they don’t like it and make it a point to point it out,33
645,May 27 2020 02:53 PM,it can  Calls Diabetes and heart problems,67
646,May 27 2020 02:53 PM,They think we are  sloppy and undisciplined. They love to turn their noses up at us and think they are better than we are,30
647,May 27 2020 02:53 PM,They think they are lazy and can’t control themselves and not attractive,54
648,May 27 2020 02:52 PM,They make fun of them and think they are less intelligent and attractive. ,70
649,May 27 2020 02:51 PM,they are unhealthy and need medical or other professional help to improve health and life quality.,19
650,May 27 2020 02:51 PM,sad,38
651,May 27 2020 02:51 PM,Thin Americans think that those with obesity are lazy and disgusting. They think they eat large quantities of sweets and junk food ALL the time. ,18
652,May 27 2020 02:51 PM,Still a stigma against it,21
653,May 27 2020 02:51 PM,G,60
654,May 27 2020 02:51 PM,Dont believe it,55
655,May 27 2020 02:49 PM,They think they’re lazy and don’t try to take care of themselves. They also believe that it’s something that they can control but choose not to.,28
656,May 27 2020 02:49 PM,It’s laziness ,23
657,May 27 2020 02:48 PM,Not sure.,30
658,May 27 2020 02:47 PM,People think overweight people are stupid and lazy and have poor hygiene.,33
659,May 27 2020 02:46 PM,They are often criticized for being over weight,44
660,May 27 2020 02:46 PM,Negative attitude sometimes but we are becoming more body positive these days,51
661,May 27 2020 02:45 PM,People are looked down upon due to obesity,43
662,May 27 2020 02:45 PM,"Lazy, undisciplined",24
663,May 27 2020 02:44 PM,"public thinks that obese people are stupid or poor,",59
664,May 27 2020 02:44 PM,The public is not understanding,74
665,May 27 2020 02:43 PM,They need to lose weight,60
666,May 27 2020 02:43 PM,They get mocked,70
667,May 27 2020 02:43 PM,I don’t really know,66
668,May 27 2020 02:41 PM,"That they aren’t like normal people, their lazy...guavjinshvu bush’s jaha h haha  Mahabharata jk kxndisbaubwhdbix jsisbg is ugtvakussb hahahah SJSU’s SJSU a hahaha has Han an jsibsha",33
669,May 27 2020 02:41 PM,Snaksnsmamsmamsm,25
670,May 27 2020 02:41 PM,It’s bad it’s out of control,35
671,May 27 2020 02:41 PM,Ask,71
672,May 27 2020 02:39 PM,"They’re dirty, lazy, Poor decision makers, come from poverty",53
673,May 27 2020 02:38 PM,You can do y’all like you wanna,70
674,May 27 2020 02:38 PM,And,21
675,May 27 2020 02:36 PM,Bias,55
676,May 27 2020 02:35 PM,negative,74
677,May 27 2020 02:34 PM,Happy,30
678,May 27 2020 02:33 PM,they are definitely made fun of and stared at.,29
679,May 27 2020 02:33 PM,"lazy, no will power, weak",69
680,May 27 2020 02:33 PM,i think they see them as bad lazy or sloppy,48
681,May 27 2020 02:33 PM,Uncontrollable urge to eat,25
682,May 27 2020 02:32 PM,not tolerated,70
683,May 27 2020 02:32 PM,lazy,33
684,May 27 2020 02:32 PM,"That they are stupid, have no willpower, and are ugly.",42
685,May 27 2020 02:32 PM,None,49
686,May 27 2020 02:32 PM,No comment,43
687,May 27 2020 02:32 PM,"Americans are known for obesity, it’s like our culture. However, it’s a huge problem here.",63
688,May 27 2020 02:31 PM,that these people are lazy,37
689,May 27 2020 02:31 PM,They don’t think much.,39
690,May 27 2020 02:31 PM,It’s a bad illness.,25
691,May 27 2020 02:30 PM,"it's an epidemic, it's the new norm, it's the individual's fault for being overweight.",28
692,May 27 2020 02:28 PM,that they are lazy and dumb,74
693,May 27 2020 02:28 PM,people Think obesity is not good for general health.,34
694,May 27 2020 02:28 PM,Individuals control their diet,45
695,May 27 2020 02:27 PM,"Unhealthy, no self control, a drain on healthcare system ",64
696,May 27 2020 02:26 PM,"They are unhealthy, and subject to substantially increased medical issues, resulting in rising insurance rates for all.",50
697,May 27 2020 02:25 PM,No,39
698,May 27 2020 02:24 PM,they judge them and automatically assume they’re unhealthy. weight is not always something we can control,33
699,May 27 2020 02:24 PM,most don't care,18
700,May 27 2020 02:24 PM,Need to respect people still,41
701,May 27 2020 02:23 PM,Obesity is unhealthy,33
702,May 27 2020 02:23 PM,American is too lenient about obesity.,33
703,May 27 2020 02:22 PM,Frowned upon,73
704,May 27 2020 02:20 PM,Not healthy,58
705,May 27 2020 02:19 PM,they think they are lazy or gluttonous,73
706,May 27 2020 02:17 PM,that they have no self control,48
707,May 27 2020 02:16 PM,they aren’t fit or really fat,35
708,May 27 2020 02:16 PM,that they're disgusting and lazy,68
709,May 27 2020 02:16 PM,nuisance to public,65
710,May 27 2020 02:16 PM,They think that obese people are lazy and gross,69
711,May 27 2020 02:16 PM,I think for the most part it is frowned upon despite the majority being clinically obese.,44
712,May 27 2020 02:14 PM,"They judge, bully and harass them. They think they’re gross, offended by them.",64
713,May 27 2020 02:14 PM,People seem to think fat people are gross people who are made to be ridiculed.,26
714,May 27 2020 02:12 PM,personal choice,68
715,May 27 2020 02:12 PM,They are lazy,47
716,May 27 2020 02:12 PM,That they are lazy and don’t care.,22
717,May 27 2020 02:11 PM,they eat too much,72
718,May 27 2020 02:11 PM,gggggggggggggyyy,46
719,May 27 2020 02:10 PM,Na,19
720,May 27 2020 02:09 PM,these days most people are ok with it,18
721,May 27 2020 02:09 PM,There is a huge negative association with being overweight.,67
722,May 27 2020 02:09 PM,That they should lose weight.,61
723,May 27 2020 02:09 PM,"People think obese people are sick and gross for letting themselves get to that point, while it's not true.",56
724,May 27 2020 02:08 PM,we are despised and called weak. in spite of the fact that my mother CAUSED eating disorders starting when I could barely speak. and now I have no thyroid. weight loss is difficult.,74
725,May 27 2020 02:08 PM,they look down on overweight people,58
726,May 27 2020 02:08 PM,They think of the people as strange.,27
727,May 27 2020 02:08 PM,They eat too much and don't exercise enough. ,71
728,May 27 2020 02:08 PM,That they are lazy,60
729,May 27 2020 02:08 PM,That it’s not good for you but some people don’t care,63
730,May 27 2020 02:08 PM,Overweight and lazy,21
731,May 27 2020 02:08 PM,I believe our American society looks down on obese people. It’s very sad but true. Obese people are treated poorly and mocked because of their weight problem.,35
732,May 27 2020 02:05 PM,Typically looked down upon.,22
733,May 27 2020 02:05 PM,Theyre sick,34
734,May 27 2020 02:05 PM,I believe that they think really bad about them,31
735,May 27 2020 02:05 PM,Don’t know,28
736,May 27 2020 02:03 PM,Large ones get my swingle ,50
737,May 27 2020 02:03 PM,"In general, I believe most people believe obesity is caused by overeating, laziness, lack of control of diet, lack of exercise. ",42
738,May 27 2020 02:02 PM,people with obesity are discriminated against and made to feel bad,62
739,May 27 2020 02:02 PM,Extreme negative attitude.,48
740,May 27 2020 02:02 PM,Disgusted,30
741,May 27 2020 02:02 PM,Big problem,25
742,May 27 2020 02:01 PM,"the majority find the obese disgusting and wis they would not wear those yoga pants the are stretched to the breaking point
also sitting on a chair and seeing their fat hanging everywhere makes people sick.
when their adipose is hanging over their belt it causes real mental distress.
to top it off is a family adipose people eating at Golden Coral and hogging the ice cream station after destroying the hot bar  ",24
743,May 27 2020 02:01 PM,mixed,40
744,May 27 2020 02:01 PM,They dislike them,21
745,May 27 2020 02:00 PM,"some embrace it, but generally people think obesity is undesirable",69
746,May 27 2020 02:00 PM,I think the American public thinks that people with obesity can change if they just stop eating less or change if they want to and that is not the case. They have so much more going on in their life than that.,68
